Experiment,Level,Instance,Seed,N,NumTrucks_Set,NumDirectDrones_Set,NumCarDrones_Set,TruckSpeed_Set,DroneSpeed_Set,Cost,Time,Penalty,TruckService_Count,DirectService_Count,CarService_Count,AirService_Count,ActiveTruck_Count,ActiveDirect_Count,ActiveCar_Count,Runtime_s
SpeedConfig,10_20,r101.txt,4213,100,15,5,1,10.0,20.0,235.9217595541368,1450.0,0.0,90,8,2,10,14,3,1,26.52936339378357
SpeedConfig,10_20,r101.txt,4214,100,15,5,1,10.0,20.0,233.686785838074,1420.0,0.0,92,4,4,8,14,1,2,26.65542960166931
SpeedConfig,10_20,r101.txt,4215,100,15,5,1,10.0,20.0,220.9402714329074,1380.0,0.0,89,6,5,11,13,2,2,26.289039611816406
SpeedConfig,10_20,r101.txt,4216,100,15,5,1,10.0,20.0,206.73255103572464,1730.0,0.0,90,3,7,10,12,1,3,28.16134238243103
SpeedConfig,10_20,r101.txt,4217,100,15,5,1,10.0,20.0,213.00508633522583,1390.0,0.0,87,7,6,13,12,3,3,27.914490461349487
SpeedConfig,10_20,r101.txt,4218,100,15,5,1,10.0,20.0,219.8202323321073,1380.0,0.0,90,4,6,10,13,1,2,27.110830068588257
SpeedConfig,10_20,r101.txt,4219,100,15,5,1,10.0,20.0,182.9350912355042,1580.0,0.0,85,6,9,15,10,3,3,27.95654511451721
SpeedConfig,10_20,r101.txt,4220,100,15,5,1,10.0,20.0,231.37534908341053,1330.0,0.0,91,0,9,9,14,0,3,28.76931595802307
SpeedConfig,10_20,r101.txt,4221,100,15,5,1,10.0,20.0,235.4356842747163,1420.0,0.0,93,7,0,7,14,3,0,27.01003479957581
SpeedConfig,10_20,r101.txt,4222,100,15,5,1,10.0,20.0,220.55212364736704,1390.0,0.0,89,3,8,11,13,1,3,25.67088842391968
SpeedConfig,10_20,r101.txt,4223,100,15,5,1,10.0,20.0,200.9725660977353,1520.0,0.0,87,5,8,13,11,3,4,29.38157439231873
SpeedConfig,10_20,r101.txt,4224,100,15,5,1,10.0,20.0,219.6023092614482,1890.0,0.0,91,6,3,9,13,2,1,26.10398530960083
