N,Run,Algorithm,Version,FrontType,PenaltyCap,Pareto_Count,HV,RunTime_s,Conv_Gen,Cost_Min,Cost_Mean,Cost_Max,Time_Min,Time_Mean,Time_Max,Pen_Min,Pen_Mean,Pen_Max,TruckService_Avg,DirectService_Avg,CarService_Avg,AirService_Avg,ActiveTruck_Avg,ActiveDirect_Avg,ActiveCar_Avg,PureTruck_Ratio,ZeroPenalty_Count,ZeroPenalty_Ratio,ZeroPenaltyTime_Best,ZeroPenaltyCost_Best
100,4202,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,50,3675824770781.5337,6.492793,100,234.276072,264.499276,304.504728,1969.675508,2389.922965,2900.0,0.0,9.713608,95.043856,38.9,28.06,33.04,61.1,14.18,5.0,12.94,0.0,40,0.8,1969.675508,234.276072
100,4203,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,42,3661322901039.494,6.447181,100,237.228515,271.599751,299.362612,1960.0,2429.322187,3871.14945,0.0,12.905252,72.390197,41.309524,29.380952,29.309524,58.690476,14.809524,5.0,13.095238,0.0,30,0.714286,1967.965323,242.124558
100,4204,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,39,3797789174444.29,5.812367,93,206.126032,258.607297,303.36199,2119.253195,2456.022908,3173.267426,0.0,12.676731,80.0,33.820513,33.794872,32.384615,66.179487,14.461538,5.0,13.358974,0.0,30,0.769231,2119.253195,206.126032
100,4205,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,51,3758084226528.946,6.322525,100,215.939287,263.83131,311.516353,2040.0,2367.305233,3040.0,0.0,2.33277,70.57569,34.431373,31.862745,33.705882,65.568627,14.647059,5.0,13.705882,0.0,46,0.901961,2040.0,222.724678
100,4206,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,66,3760307429830.394,6.547947,100,216.852832,257.203715,327.043227,1960.0,2346.308453,3380.0,0.0,16.324869,100.0,34.787879,29.090909,36.121212,65.212121,14.651515,5.0,12.772727,0.0,53,0.80303,1960.0,231.693371
100,4207,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,61,3739287516624.831,6.206523,100,221.99328,240.885429,319.65858,1912.392835,2333.812912,2890.394193,0.0,9.794661,96.755434,36.540984,30.459016,33.0,63.459016,14.770492,5.0,12.672131,0.0,50,0.819672,1912.392835,221.99328
100,4208,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,49,3743705579423.754,6.276725,100,218.710576,261.074279,331.800378,2030.0,2501.022071,2955.072616,0.0,0.0,0.0,39.204082,31.367347,29.428571,60.795918,14.591837,5.0,12.836735,0.0,49,1.0,2030.0,218.710576
100,4209,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,68,3745008850417.415,6.518567,100,217.919226,267.067517,324.470381,2057.983527,2455.677175,3314.099085,0.0,2.754599,64.347038,39.132353,29.911765,30.955882,60.867647,14.823529,5.0,13.235294,0.0,64,0.941176,2057.983527,217.919226
100,4210,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,40,3648067238346.22,5.007164,78,238.496092,262.641189,315.662548,2080.0,2378.983089,2765.110016,0.0,0.231179,9.247166,35.0,31.0,34.0,65.0,14.525,5.0,13.0,0.0,39,0.975,2080.0,238.496092
100,4211,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,56,3666138216452.579,6.446409,100,235.009101,268.371342,322.181211,2050.0,2394.995418,3110.0,0.0,20.818992,68.859238,36.214286,27.517857,36.267857,63.785714,14.964286,4.946429,13.607143,0.0,30,0.535714,2050.0,239.011687
100,4212,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,53,3637539408249.346,6.35092,100,240.201392,265.982599,321.49196,2100.0,2601.588984,3980.0,0.0,13.571149,80.0,37.018868,31.037736,31.943396,62.981132,14.54717,4.981132,13.301887,0.0,38,0.716981,2100.0,245.617819
100,4213,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,48,3773025285483.996,6.216926,100,213.85264,252.606965,324.617862,1970.0,2440.540284,3330.0,0.0,12.635157,95.528286,36.479167,30.145833,33.375,63.520833,14.395833,5.0,13.145833,0.0,36,0.75,1990.0,232.09235
100,4214,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,51,3583238989961.42,3.402468,52,251.826147,268.880849,327.242056,2100.0,2433.52038,3355.611886,0.0,6.261672,73.48521,36.098039,33.54902,30.352941,63.901961,14.607843,5.0,12.27451,0.0,42,0.823529,2100.0,251.826147
100,4215,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,51,3750811777585.752,6.176197,100,217.477382,253.270719,322.490462,2040.0,2632.56657,3717.484308,0.0,10.963588,94.713879,37.431373,35.686275,26.882353,62.568627,14.607843,5.0,11.588235,0.0,38,0.745098,2040.0,235.752294
100,4216,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,55,3570335935737.881,4.102583,63,255.315398,285.472192,321.221133,2030.0,2437.884154,3350.0,0.0,17.380517,97.71821,38.290909,31.090909,30.618182,61.709091,14.909091,5.0,13.054545,0.0,40,0.727273,2060.0,255.315398
100,4217,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,58,3671203838872.388,6.09679,100,234.263102,259.356921,294.038449,2040.0,2373.740136,2774.737815,0.0,2.060113,28.660687,36.155172,30.724138,33.12069,63.844828,14.689655,5.0,13.344828,0.0,52,0.896552,2040.0,235.221171
100,4218,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,59,3762276503688.047,6.320681,100,215.978339,264.758878,328.303691,1970.0,2392.062805,3210.0,0.0,3.430011,51.637679,34.542373,31.40678,34.050847,65.457627,14.694915,5.0,13.372881,0.0,54,0.915254,1970.0,215.978339
100,4219,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,42,3609400791848.843,6.422701,100,248.479139,286.307585,319.330665,1950.0,2232.319953,3681.813451,0.0,2.565617,45.773797,38.52381,29.714286,31.761905,61.47619,14.714286,5.0,12.428571,0.0,39,0.928571,1950.0,248.479139
